Member,Question,Duration
1,1,167
1,2,253
1,3,365
1,4,498
1,5,491
1,6,476
1,7,169
1,8,406
1,9,493
1,10,498
1,11,145
1,12,192
1,13,107
1,14,414
1,15,184
1,16,428
1,17,119
1,18,554
1,19,429
1,20,530
2,1,350
2,2,116
2,3,538
2,4,481
2,5,443
2,6,547
2,7,555
2,8,193
2,9,285
2,10,209
2,11,595
2,12,209
2,13,345
2,14,442
2,15,280
2,16,476
2,17,257
2,18,382
2,19,343
2,20,475
3,1,455
3,2,307
3,3,148
3,4,228
3,5,563
3,6,423
3,7,501
3,8,363
3,9,115
3,10,474
3,11,174
3,12,257
3,13,576
3,14,599
3,15,471
3,16,552
3,17,469
3,18,134
3,19,240
3,20,281
4,1,227
4,2,214
4,3,216
4,4,101
4,5,500
4,6,185
4,7,454
4,8,216
4,9,195
4,10,474
4,11,306
4,12,120
4,13,560
4,14,257
4,15,206
4,16,117
4,17,248
4,18,230
4,19,568
4,20,192
5,1,117
5,2,260
5,3,268
5,4,189
5,5,501
5,6,525
5,7,323
5,8,449
5,9,533
5,10,380
5,11,385
5,12,134
5,13,122
5,14,365
5,15,367
5,16,482
5,17,598
5,18,121
5,19,537
5,20,586
